X,Y,Z,Anomaly
855134.9469947369,987835.1151157895,2589.9981110421054,-6.2549350725966795
854142.841731579,987835.1151157895,2449.890285007895,-6.091828459429385
854341.2627842106,988095.641431579,2449.890285007895,-5.51279818245063
854440.4733105263,988199.8519578947,2589.9981110421054,-6.862574820686254
854341.2627842106,987991.4309052632,2421.868719801053,-5.121000916302384
854936.5259421053,987783.0098526316,2646.0412414557895,-6.127695944225243
854440.4733105263,987626.6940631579,2646.0412414557895,-5.876452251102932
854738.1048894738,988460.3782736842,2646.0412414557895,-6.3859877258362365
853944.4206789475,987991.4309052632,2533.9549806284213,-6.154958026441249
854341.2627842106,988564.5888,2533.9549806284213,-5.3597278606120895
854440.4733105263,987626.6940631579,2393.8471545942107,-4.65105131486821
854638.8943631579,987783.0098526316,2421.868719801053,-5.117083339870464
854936.5259421053,988147.7466947369,2646.0412414557895,-7.277161982656765
854341.2627842106,988356.1677473685,2589.9981110421054,-6.402339706696099
854043.6312052632,987887.2203789474,2533.9549806284213,-6.260449614472242
854936.5259421053,988095.641431579,2477.911850214737,-5.135977117158617
854341.2627842106,987574.5888,2646.0412414557895,-5.470330142254816
854242.0522578948,988095.641431579,2674.062806662632,-6.921363647997552
854440.4733105263,988356.1677473685,2533.9549806284213,-5.926523608000355
853646.7891,987939.3256421053,2309.7824589736842,-3.7754437084381056
854936.5259421053,988043.536168421,2618.0196762489477,-6.896574931166423
854738.1048894738,987730.9045894737,2618.0196762489477,-6.961566861353984
855134.9469947369,988147.7466947369,2533.9549806284213,-5.815420519719193
854043.6312052632,988043.536168421,2449.890285007895,-6.071368960451746
854242.0522578948,987678.7993263159,2618.0196762489477,-6.281947285880985
854738.1048894738,987887.2203789474,2505.933415421579,-5.846452712155632
855333.3680473685,987730.9045894737,2561.976545835263,-4.660142257624612
854638.8943631579,988199.8519578947,2618.0196762489477,-6.963547183424306
854341.2627842106,988304.0624842106,2533.9549806284213,-6.30575497967793
855234.1575210526,988147.7466947369,2477.911850214737,-4.376408372606333
853745.9996263159,988199.8519578947,2393.8471545942107,-5.494611588561039
854936.5259421053,987678.7993263159,2505.933415421579,-5.5654769575779985
854539.6838368422,987991.4309052632,2674.062806662632,-6.892117640557394
